1	optimal	6096.561591
2	optimal	5337.637773
3	optimal	5264.295735
4	optimal	5286.812927
5	optimal	4942.69462
6	optimal	5165.18159
7	optimal	4938.352169
8	optimal	5015.810019
9	optimal	5138.968294
10	optimal	5715.300866
11	optimal	5466.067952
14	optimal	5575.697184
15	optimal	5406.283585
16	optimal	4795.579589
17	optimal	5265.065645
18	optimal	7630.777948
19	optimal	4958.646668
20	optimal	5340.921876
21	optimal	5833.788777
24	optimal	5347.803325
26	optimal	5026.135822
29	optimal	5343.048163
31	optimal	5459.40166
32	optimal	5897.330735
33	optimal	5598.565598
36	optimal	4832.030541
38	optimal	5556.619298
39	optimal	6316.990698
40	optimal	4932.244605
41	optimal	5077.426559
42	optimal	4838.065724
43	optimal	5782.324182
44	optimal	5564.496054
45	optimal	5536.875989
48	optimal	5878.774825
50	optimal	4978.353066
51	optimal	5221.416808
52	optimal	5053.955132
55	optimal	5092.57823
57	optimal	4880.87833
58	optimal	5286.726218
59	optimal	5378.104432
60	optimal	4788.145213
62	optimal	5326.082346
63	optimal	4768.929731
64	optimal	5386.565366
66	optimal	5213.927
67	optimal	5207.152132
68	optimal	5240.36023
69	optimal	6106.088244
70	optimal	6601.292702
73	optimal	5237.870576
74	optimal	5300.778832
75	optimal	5063.910387
76	optimal	5001.136448
77	optimal	4944.572671
78	optimal	5058.595868
79	optimal	5460.259975
80	optimal	4849.874036
83	optimal	4811.588218
84	optimal	5168.798854
85	optimal	5020.89415
88	optimal	4933.654399
89	optimal	5218.294882
90	optimal	5458.854444
91	optimal	5218.515331
92	optimal	5157.022562
93	optimal	5077.082347
94	optimal	4946.15066
95	optimal	5403.766023
98	optimal	5347.252243
100	optimal	4939.553607
102	optimal	8049.220881
103	optimal	7570.634375
104	optimal	4935.821956
106	optimal	5267.864894
107	optimal	5233.411582
108	optimal	5623.70056
110	optimal	4921.640839
112	optimal	5459.987163
114	optimal	4733.102165
115	optimal	4984.189241
116	optimal	5200.529905
117	optimal	5121.330641
118	optimal	5447.50425
120	optimal	4841.945492
121	optimal	5269.319068
125	optimal	5329.307603
126	optimal	5307.783894
127	optimal	4915.995361
128	optimal	5421.158815
129	optimal	5093.471959
130	optimal	5297.884138
132	optimal	5372.581764
133	optimal	4793.529416
138	optimal	5547.08668
140	optimal	5460.510224
144	optimal	5778.838548
149	optimal	5058.344183
151	optimal	4642.274397
152	optimal	5202.595522
